GEO_ID,NAME,GEOID,Total:,White alone,Percent White,Black or African American alone,Percent Black,American Indian and Alaska Native alone,Percent American Indian or Alaska native,Asian alone,Percent Asian,Native Hawaiian and Other Pacific Islander alone,Percent Native Hawaiian or Pacific Islander,Some other race alone,Other Race,Bankruptcies per thousand,Meidan household income,Labor Force Participation,Less than High school,High school or equivalent,College Education,
0500000US47157,0,,929178,348349,0.374900181,499760,0.537851736,2235,0.002405352,25754,0.027716971,616,0.000662952,26101,0.02809042,0,55015,0.645,0.101058147,0.272140822,0.342070299,
860Z200US38002,ZCTA5 38002,38002,43098,31900,0.740173558,8531,0.19794422,142,0.003294816,998,0.023156527,0,0,373,0.008654694,1.647408232,100218,0.666,0.040705752,0.178429193,0.461517088,
860Z200US38004,ZCTA5 38004,38004,11282,9709,0.860574366,1132,0.10033682,0,0,64,0.005672753,0,0,38,0.003368197,2.659102996,87927,0.657,0.036755387,0.282002535,0.317648923,
860Z200US38016,ZCTA5 38016,38016,45170,15471,0.342506088,24393,0.540026566,46,0.001018375,2377,0.052623423,160,0.003542174,351,0.007770644,4.6269648,66480,0.682,0.048667992,0.222147117,0.440318091,
860Z200US38017,ZCTA5 38017,38017,55161,41318,0.749043708,5602,0.10155726,125,0.002266094,5692,0.103188847,37,0.000670764,592,0.01073222,1.250883777,122556,0.67,0.040403702,0.120138144,0.638881438,
860Z200US38018,ZCTA5 38018,38018,38789,16615,0.428343087,18232,0.470030163,0,0,2175,0.056072598,0,0,195,0.005027198,3.196782593,79490,0.721,0.044983984,0.19047398,0.473933429,
860Z200US38028,ZCTA5 38028,38028,7782,5656,0.726805448,1676,0.2153688,0,0,53,0.006810589,0,0,336,0.043176561,0.899511694,141250,0.56,0.05126371,0.198855508,0.477110157,
860Z200US38053,ZCTA5 38053,38053,26135,17596,0.673273388,6109,0.233747848,92,0.003520184,360,0.013774632,0,0,682,0.026095275,3.826286589,54473,0.575,0.089761571,0.354395807,0.20410423,
860Z200US38103,ZCTA5 38103,38103,14243,8819,0.619181352,4068,0.285613986,11,0.000772309,650,0.045636453,0,0,140,0.00982939,1.755248192,79307,0.649,0.070216274,0.126854815,0.651828145,
860Z200US38104,ZCTA5 38104,38104,22900,14746,0.643930131,6058,0.264541485,78,0.003406114,718,0.031353712,12,0.000524017,486,0.021222707,3.668122271,48487,0.687,0.056631994,0.150995989,0.526684343,
860Z200US38105,ZCTA5 38105,38105,5437,845,0.15541659,4273,0.785911348,0,0,124,0.022806695,15,0.002758874,54,0.009931948,8.092698179,22435,0.62,0.1822947,0.285381479,0.23645894,
860Z200US38106,ZCTA5 38106,38106,23745,753,0.031711939,22794,0.959949463,54,0.002274163,9,0.000379027,9,0.000379027,70,0.002947989,10.02316277,27881,0.517,0.184512348,0.494097949,0.124905818,
860Z200US38107,ZCTA5 38107,38107,15071,2923,0.193948643,11340,0.752438458,11,0.000729879,118,0.007829607,5,0.000331763,193,0.012806051,9.687479265,33941,0.576,0.120314612,0.287329483,0.2600467,
860Z200US38108,ZCTA5 38108,38108,17300,4218,0.243815029,10898,0.629942197,38,0.002196532,24,0.001387283,0,0,1882,0.108786127,7.341040462,27778,0.53,0.251624335,0.381453042,0.095924395,
860Z200US38109,ZCTA5 38109,38109,44899,1127,0.025100782,43011,0.957950066,58,0.001291788,0,0,0,0,189,0.004209448,9.799772823,32404,0.543,0.115643547,0.434582337,0.124988927,
860Z200US38111,ZCTA5 38111,38111,40947,16951,0.413974162,19762,0.48262388,975,0.023811268,676,0.016509146,0,0,989,0.024153174,5.61701712,41428,0.642,0.118444141,0.246344317,0.382238253,
860Z200US38112,ZCTA5 38112,38112,16437,5955,0.362292389,8604,0.523453185,71,0.004319523,282,0.017156415,17,0.001034252,926,0.056336314,5.292936667,43013,0.588,0.161083929,0.28252415,0.344624263,
860Z200US38114,ZCTA5 38114,38114,22580,981,0.043445527,21058,0.932595217,14,0.000620018,25,0.001107174,42,0.001860053,171,0.007573074,10.58458813,28158,0.576,0.180226388,0.393880439,0.114874425,
860Z200US38115,ZCTA5 38115,38115,37626,2650,0.070430022,31567,0.838967735,0,0,180,0.004783926,0,0,2531,0.067267315,9.195768883,35900,0.745,0.140663104,0.362060914,0.146941317,
860Z200US38116,ZCTA5 38116,38116,40854,1977,0.048391834,38348,0.938659617,67,0.001639986,10,0.000244774,0,0,222,0.005433984,9.374847016,38862,0.619,0.1102767,0.391865329,0.15513331,
860Z200US38117,ZCTA5 38117,38117,26584,21699,0.816242853,3173,0.119357508,62,0.00233223,588,0.022118568,0,0,520,0.019560638,2.144146855,82093,0.672,0.035157666,0.119101124,0.657629576,
860Z200US38118,ZCTA5 38118,38118,38931,3422,0.087899104,30036,0.771518841,25,0.000642162,544,0.01397344,0,0,3250,0.083481031,9.272816008,38589,0.659,0.194191097,0.383550489,0.101574376,
860Z200US38119,ZCTA5 38119,38119,24027,11698,0.486868939,10081,0.419569651,0,0,699,0.029092271,0,0,791,0.032921297,4.078744745,83083,0.721,0.050699301,0.150667514,0.499046408,
860Z200US38120,ZCTA5 38120,38120,14724,12367,0.839921217,809,0.054944309,50,0.003395816,1043,0.070836729,0,0,82,0.005569139,1.426242869,111220,0.673,0.021986862,0.067971578,0.719265317,
860Z200US38122,ZCTA5 38122,38122,22961,12485,0.543748095,3746,0.163146204,108,0.004703628,652,0.028395976,38,0.00165498,4526,0.19711685,4.26810679,40674,0.636,0.274273374,0.318365878,0.19805633,
860Z200US38125,ZCTA5 38125,38125,42717,5304,0.124166023,32992,0.772338881,0,0,2357,0.055177096,198,0.004635157,977,0.022871456,7.56139242,74425,0.735,0.050690108,0.186616826,0.402357871,
860Z200US38126,ZCTA5 38126,38126,5660,350,0.061837456,5230,0.924028269,0,0,21,0.003710247,0,0,13,0.00229682,9.187279152,16112,0.465,0.136532892,0.484071163,0.086057096,
860Z200US38127,ZCTA5 38127,38127,40820,4303,0.105414013,34497,0.845100441,35,0.000857423,215,0.005267026,2,4.90E-05,843,0.020651641,10.97501225,32933,0.57,0.197486814,0.409090909,0.109783845,
860Z200US38128,ZCTA5 38128,38128,45087,5171,0.114689378,36965,0.819859383,51,0.001131146,108,0.002395369,0,0,1498,0.033224655,8.073280546,37155,0.646,0.131084249,0.394539688,0.137978582,
860Z200US38133,ZCTA5 38133,38133,21702,13122,0.604644733,5946,0.273983965,24,0.001105889,1094,0.0504101,0,0,650,0.029951157,3.271587872,71364,0.664,0.098822503,0.266899259,0.354470126,
860Z200US38134,ZCTA5 38134,38134,43991,19832,0.450819486,19698,0.447773408,199,0.004523653,847,0.019253938,73,0.00165943,1472,0.03346139,4.000818349,52588,0.621,0.14256466,0.332344462,0.190406552,
860Z200US38135,ZCTA5 38135,38135,30438,17995,0.591201787,10723,0.352289901,0,0,803,0.026381497,0,0,265,0.008706222,3.055391287,79886,0.668,0.038355673,0.266694591,0.413475347,
860Z200US38138,ZCTA5 38138,38138,25459,22355,0.878078479,1130,0.04438509,12,0.000471346,1360,0.053419223,0,0,221,0.008680624,0.707019129,115400,0.635,0.010952624,0.073866531,0.718882663,
860Z200US38139,ZCTA5 38139,38139,16265,14608,0.898124808,281,0.01727636,9,0.000553335,1115,0.068552106,0,0,31,0.001905933,0.430371964,165956,0.619,0.008858391,0.045414847,0.78415471,
860Z200US38141,ZCTA5 38141,38141,23299,1974,0.084724666,19678,0.844585605,27,0.001158848,0,0,0,0,1267,0.054380016,6.73848663,57393,0.711,0.109438599,0.383457492,0.168573842,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
